Tanggal,Saham_BBCA
1/7/2024,9875
28/06/2024,9925
27/06/2024,9750
26/06/2024,9500
25/06/2024,9600
24/06/2024,9600
21/06/2024,9600
20/06/2024,9425
19/06/2024,9050
14/06/2024,9200
13/06/2024,9200
12/6/2024,9250
11/6/2024,9300
10/6/2024,9525
7/6/2024,9325
6/6/2024,9475
5/6/2024,9450
4/6/2024,9350
3/6/2024,9275
31/05/2024,9250
30/05/2024,9000
29/05/2024,9150
28/05/2024,9300
27/05/2024,9300
22/05/2024,9425
21/05/2024,9375
20/05/2024,9475
17/05/2024,9750
16/05/2024,9600
15/05/2024,9500
14/05/2024,9550
13/05/2024,9525
8/5/2024,9375
7/5/2024,9700
6/5/2024,9800
3/5/2024,9850
2/5/2024,9550
30/04/2024,9800
29/04/2024,9800
26/04/2024,9625
25/04/2024,9775
24/04/2024,9950
23/04/2024,9725
22/04/2024,9350
19/04/2024,9475
18/04/2024,9475
17/04/2024,9525
16/04/2024,9475
5/4/2024,9825
4/4/2024,9850
3/4/2024,9525
2/4/2024,9900
1/4/2024,9850
28/03/2024,10075
27/03/2024,10075
26/03/2024,10050
25/03/2024,10075
22/03/2024,10100
21/03/2024,10125
20/03/2024,10125
19/03/2024,10175
18/03/2024,10150
15/03/2024,10150
14/03/2024,10325
13/03/2024,10000
8/3/2024,10150
7/3/2024,10125
6/3/2024,9950
5/3/2024,9800
4/3/2024,9750
1/3/2024,9825
29/02/2024,9875
28/02/2024,10000
27/02/2024,9875
26/02/2024,9800
23/02/2024,9825
22/02/2024,9875
21/02/2024,9975
20/02/2024,10025
19/02/2024,9875
16/02/2024,9950
15/02/2024,9850
13/02/2024,9725
12/2/2024,9800
7/2/2024,9700
6/2/2024,9625
5/2/2024,9575
2/2/2024,9700
1/2/2024,9700
31/01/2024,9550
30/01/2024,9650
29/01/2024,9550
26/01/2024,9350
25/01/2024,9500
24/01/2024,9525
23/01/2024,9600
22/01/2024,9625
19/01/2024,9625
18/01/2024,9675
17/01/2024,9750
16/01/2024,9700
15/01/2024,9725
12/1/2024,9700
11/1/2024,9575
10/1/2024,9550
9/1/2024,9625
8/1/2024,9575
5/1/2024,9575
4/1/2024,9475
3/1/2024,9350
2/1/2024,9425
29/12/2023,9400
28/12/2023,9400
27/12/2023,9375
22/12/2023,9325
21/12/2023,9325
20/12/2023,9300
19/12/2023,9250
18/12/2023,9200
15/12/2023,9225
14/12/2023,9050
13/12/2023,8675
12/12/2023,8700
11/12/2023,8750
8/12/2023,8750
7/12/2023,8825
6/12/2023,8800
5/12/2023,8900
4/12/2023,8925
1/12/2023,8950
30/11/2023,8975
29/11/2023,8900
28/11/2023,8875
27/11/2023,8875
24/11/2023,8925
23/11/2023,8925
22/11/2023,8875
21/11/2023,8775
20/11/2023,8875
17/11/2023,9075
16/11/2023,9075
15/11/2023,9050
14/11/2023,8925
13/11/2023,8875
10/11/2023,8825
9/11/2023,9000
8/11/2023,9000
7/11/2023,8975
6/11/2023,9050
3/11/2023,8900
2/11/2023,8850
1/11/2023,8600
31/10/2023,8750
30/10/2023,8850
27/10/2023,8700
26/10/2023,8725
25/10/2023,8875
24/10/2023,8775
23/10/2023,8850
20/10/2023,8975
19/10/2023,8750
18/10/2023,8850
17/10/2023,8950
16/10/2023,9100
13/10/2023,9075
12/10/2023,9050
11/10/2023,8925
10/10/2023,8925
9/10/2023,9050
6/10/2023,9025
5/10/2023,9075
4/10/2023,9200
3/10/2023,9200
2/10/2023,9075
29/09/2023,8825
27/09/2023,8875
26/09/2023,8950
25/09/2023,9000
22/09/2023,9075
21/09/2023,9125
20/09/2023,9150
19/09/2023,9075
18/09/2023,9000
15/09/2023,9000
14/09/2023,9100
13/09/2023,9075
12/9/2023,9100
11/9/2023,9125
8/9/2023,9125
7/9/2023,9175
6/9/2023,9150
5/9/2023,9225
4/9/2023,9225
1/9/2023,9225
31/08/2023,9175
30/08/2023,9200
29/08/2023,9250
28/08/2023,9200
25/08/2023,9275
24/08/2023,9200
23/08/2023,9300
22/08/2023,9300
21/08/2023,9175
18/08/2023,9250
16/08/2023,9300
15/08/2023,9300
14/08/2023,9350
11/8/2023,9400
10/8/2023,9400
9/8/2023,9400
8/8/2023,9200
7/8/2023,9275
4/8/2023,9150
3/8/2023,9250
2/8/2023,9200
1/8/2023,9125
31/07/2023,9125
28/07/2023,9125
27/07/2023,9225
26/07/2023,9350
25/07/2023,9150
24/07/2023,9100
21/07/2023,9150
20/07/2023,9150
18/07/2023,9150
17/07/2023,9175
14/07/2023,9200
13/07/2023,9125
12/7/2023,9175
11/7/2023,9025
10/7/2023,9050
7/7/2023,9025
6/7/2023,9075
5/7/2023,9050
4/7/2023,9050
3/7/2023,9075
27/06/2023,9150
26/06/2023,9075
23/06/2023,9050
22/06/2023,9050
21/06/2023,9125
20/06/2023,9050
19/06/2023,9000
16/06/2023,9050
15/06/2023,9050
14/06/2023,9075
13/06/2023,9150
12/6/2023,9150
9/6/2023,9100
8/6/2023,9125
7/6/2023,9100
6/6/2023,9150
5/6/2023,9200
31/05/2023,9050
30/05/2023,9250
29/05/2023,9150
26/05/2023,9150
25/05/2023,9050
24/05/2023,9025
23/05/2023,9125
22/05/2023,9000
19/05/2023,9000
17/05/2023,8775
16/05/2023,8700
15/05/2023,8775
12/5/2023,8800
11/5/2023,8825
10/5/2023,8925
9/5/2023,8925
8/5/2023,9000
5/5/2023,9000
4/5/2023,9000
3/5/2023,8925
2/5/2023,9050
28/04/2023,9050
27/04/2023,9150
26/04/2023,9200
18/04/2023,9125
17/04/2023,9025
14/04/2023,9000
13/04/2023,8925
12/4/2023,8900
11/4/2023,8825
10/4/2023,8800
6/4/2023,8750
5/4/2023,8725
4/4/2023,8775
3/4/2023,8800
31/03/2023,8750
30/03/2023,8825
29/03/2023,8800
28/03/2023,8675
27/03/2023,8700
24/03/2023,8825
21/03/2023,8500
20/03/2023,8400
17/03/2023,8375
16/03/2023,8300
15/03/2023,8325
14/03/2023,8325
13/03/2023,8550
10/3/2023,8450
9/3/2023,8575
8/3/2023,8575
7/3/2023,8425
6/3/2023,8400
3/3/2023,8475
2/3/2023,8625
1/3/2023,8600
28/02/2023,8750
27/02/2023,8775
24/02/2023,8675
23/02/2023,8725
22/02/2023,8675
21/02/2023,8700
20/02/2023,8750
17/02/2023,8725
16/02/2023,8700
15/02/2023,8875
14/02/2023,8950
13/02/2023,8875
10/2/2023,8825
9/2/2023,8900
8/2/2023,8825
7/2/2023,8850
6/2/2023,8725
3/2/2023,8700
2/2/2023,8450
1/2/2023,8500
31/01/2023,8475
30/01/2023,8700
27/01/2023,8700
26/01/2023,8475
25/01/2023,8200
24/01/2023,8225
20/01/2023,8300
19/01/2023,8325
18/01/2023,8300
17/01/2023,8325
16/01/2023,8150
13/01/2023,8050
12/1/2023,8175
11/1/2023,8125
10/1/2023,8175
9/1/2023,8450
6/1/2023,8300
5/1/2023,8250
4/1/2023,8350
3/1/2023,8550
2/1/2023,8550
30/12/2022,8550
29/12/2022,8575
28/12/2022,8650
27/12/2022,8600
26/12/2022,8575
23/12/2022,8500
22/12/2022,8575
21/12/2022,8675
20/12/2022,8575
19/12/2022,8650
16/12/2022,8600
15/12/2022,8500
14/12/2022,8625
13/12/2022,8700
12/12/2022,8700
9/12/2022,8575
8/12/2022,8500
7/12/2022,8450
6/12/2022,8675
5/12/2022,8775
2/12/2022,8900
1/12/2022,9000
30/11/2022,9300
29/11/2022,8975
28/11/2022,9025
25/11/2022,8975
24/11/2022,9000
23/11/2022,8875
22/11/2022,8900
21/11/2022,8725
18/11/2022,8825
17/11/2022,8725
16/11/2022,8600
15/11/2022,8800
14/11/2022,8750
11/11/2022,8850
10/11/2022,8800
9/11/2022,8875
8/11/2022,8750
7/11/2022,8850
4/11/2022,8775
3/11/2022,8800
2/11/2022,8750
1/11/2022,8800
31/10/2022,8800
28/10/2022,8750
27/10/2022,8700
26/10/2022,8550
25/10/2022,8700
24/10/2022,8900
21/10/2022,8650
20/10/2022,8500
19/10/2022,8275
18/10/2022,8300
17/10/2022,8250
14/10/2022,8250
13/10/2022,8275
12/10/2022,8325
11/10/2022,8250
10/10/2022,8300
7/10/2022,8200
6/10/2022,8425
5/10/2022,8450
4/10/2022,8550
3/10/2022,8500
30/09/2022,8550
29/09/2022,8375
28/09/2022,8325
27/09/2022,8300
26/09/2022,8425
23/09/2022,8375
22/09/2022,8475
21/09/2022,8475
20/09/2022,8550
19/09/2022,8650
16/09/2022,8450
15/09/2022,8750
14/09/2022,8500
13/09/2022,8525
12/9/2022,8375
9/9/2022,8375
8/9/2022,8350
7/9/2022,8375
6/9/2022,8275
5/9/2022,8275
2/9/2022,8225
1/9/2022,8150
31/08/2022,8200
30/08/2022,8175
29/08/2022,8150
26/08/2022,8000
25/08/2022,8075
24/08/2022,7950
23/08/2022,7900
22/08/2022,8000
19/08/2022,7900
18/08/2022,8000
16/08/2022,7975
15/08/2022,7950
12/8/2022,7925
11/8/2022,7950
10/8/2022,7900
9/8/2022,7900
8/8/2022,7875
5/8/2022,7875
4/8/2022,7800
3/8/2022,7625
2/8/2022,7600
1/8/2022,7500
29/07/2022,7350
28/07/2022,7350
27/07/2022,7325
26/07/2022,7300
25/07/2022,7300
22/07/2022,7325
21/07/2022,7400
20/07/2022,7400
19/07/2022,7175
18/07/2022,7150
15/07/2022,7000
14/07/2022,7025
13/07/2022,7000
12/7/2022,7175
11/7/2022,7125
8/7/2022,7150
7/7/2022,7100
6/7/2022,7300
5/7/2022,7250
4/7/2022,7050
1/7/2022,7250
30/06/2022,7250
29/06/2022,7275
28/06/2022,7300
27/06/2022,7350
24/06/2022,7475
23/06/2022,7525
22/06/2022,7500
21/06/2022,7650
20/06/2022,7625
17/06/2022,7500
16/06/2022,7575
15/06/2022,7325
14/06/2022,7400
13/06/2022,7350
10/6/2022,7350
9/6/2022,7500
8/6/2022,7600
7/6/2022,7375
6/6/2022,7450
3/6/2022,7600
2/6/2022,7575
31/05/2022,7750
30/05/2022,7575
27/05/2022,7575
25/05/2022,7375
24/05/2022,7350
23/05/2022,7375
20/05/2022,7400
19/05/2022,7450
18/05/2022,7575
17/05/2022,7400
13/05/2022,7325
12/5/2022,7275
11/5/2022,7650
10/5/2022,7525
9/5/2022,7600
28/04/2022,8125
27/04/2022,8200
26/04/2022,8125
25/04/2022,8000
22/04/2022,7875
21/04/2022,7925
20/04/2022,7650
19/04/2022,7625
18/04/2022,7700
14/04/2022,7700
13/04/2022,7800
12/4/2022,7800
11/4/2022,7725
8/4/2022,7850
7/4/2022,7750
6/4/2022,7750
5/4/2022,7900
4/4/2022,7900
1/4/2022,7925
31/03/2022,7975
30/03/2022,7875
29/03/2022,7850
28/03/2022,7900
25/03/2022,7950
24/03/2022,7925
23/03/2022,7900
22/03/2022,7925
21/03/2022,7900
18/03/2022,7900
17/03/2022,8000
16/03/2022,8200
15/03/2022,8150
14/03/2022,8075
11/3/2022,7950
10/3/2022,7925
9/3/2022,7850
8/3/2022,7650
7/3/2022,7700
4/3/2022,7900
2/3/2022,7975
1/3/2022,8050
25/02/2022,8050
24/02/2022,8000
23/02/2022,8050
22/02/2022,7900
21/02/2022,7950
18/02/2022,7925
17/02/2022,7900
16/02/2022,7975
15/02/2022,7875
14/02/2022,7700
11/2/2022,7825
10/2/2022,7750
9/2/2022,7950
8/2/2022,7725
7/2/2022,7800
4/2/2022,7725
3/2/2022,7725
2/2/2022,7800
31/01/2022,7625
28/01/2022,7775
27/01/2022,7800
26/01/2022,7700
25/01/2022,7775
24/01/2022,7800
21/01/2022,7950
20/01/2022,7775
