Tanggal,Saham_BBCA
7/2/2020,6760
6/2/2020,6740
5/2/2020,6730
4/2/2020,6600
3/2/2020,6440
31/01/2020,6480
30/01/2020,6740
29/01/2020,6785
28/01/2020,6790
27/01/2020,6840
24/01/2020,6810
23/01/2020,6840
22/01/2020,6840
21/01/2020,6830
20/01/2020,6835
17/01/2020,6875
16/01/2020,6850
15/01/2020,6835
14/01/2020,6870
13/01/2020,6745
10/1/2020,6725
9/1/2020,6740
8/1/2020,6680
7/1/2020,6740
6/1/2020,6735
3/1/2020,6800
2/1/2020,6690
